DY
100
7
c0;c1;c2;c3;c4;c5;c6;
T04_372314.jpg; 0; 5764; 29; 0; 6; 176; 4
T01_2045.jpg; 0; 5413; 568; 0; 3; 4; 1
T05_3253.jpg; 0; 5932; 250; 0; 7; 191; 5
T03_2998.jpg; 0; 6354; 17; 0; 4; 4; 3
T05_3237.jpg; 0; 5920; 461; 0; 6; 2; 5
T04_372298.jpg; 0; 6019; 360; 0; 3; 4; 4
T05_3184.jpg; 0; 5968; 416; 0; 3; 0; 5
T05_3166.jpg; 0; 5867; 231; 0; 205; 2; 5
T01_1891.jpg; 0; 6103; 281; 0; 2; 5; 1
T05_3195.jpg; 0; 5875; 517; 0; 1; 0; 5
T03_3028.jpg; 0; 6215; 28; 0; 140; 5; 3
T01_2538.jpg; 0; 5988; 395; 0; 6; 3; 1
T04_372307.jpg; 0; 5883; 17; 0; 314; 55; 4
T02_2166.jpg; 0; 6157; 237; 0; 2; 0; 2
T05_3146.jpg; 0; 5421; 95; 0; 7; 0; 5
T04_372297.jpg; 0; 5811; 22; 0; 3; 24; 4
T01_2544.jpg; 0; 5751; 37; 0; 5; 0; 1
T05_3170.jpg; 0; 4827; 228; 0; 95; 201; 5
T04_372312.jpg; 0; 6217; 25; 0; 67; 7; 4
T05_3167.jpg; 0; 5988; 229; 0; 7; 0; 5
T05_3171.jpg; 0; 5014; 213; 0; 285; 0; 5
T03_3024.jpg; 0; 6175; 200; 0; 7; 2; 3
T05_3151.jpg; 0; 6215; 23; 0; 149; 0; 5
T05_3187.jpg; 0; 4578; 314; 0; 4; 2; 5
T01_2044.jpg; 0; 6132; 252; 0; 1; 2; 1
T02_2170.jpg; 0; 6208; 189; 0; 0; 0; 2
T03_3049.jpg; 0; 6167; 210; 0; 9; 3; 3
T03_2986.jpg; 0; 6357; 27; 0; 3; 1; 3
T05_3244.jpg; 0; 6138; 236; 0; 8; 0; 5
T03_3048.jpg; 0; 6182; 193; 0; 5; 3; 3
T05_3196.jpg; 0; 5367; 34; 0; 206; 3; 5
T03_2989.jpg; 0; 5790; 224; 0; 4; 2; 3
T04_372299.jpg; 0; 6357; 25; 0; 1; 2; 4
T02_2168.jpg; 0; 5560; 637; 0; 1; 200; 2
T05_3179.jpg; 0; 5696; 501; 0; 0; 0; 5
T01_2526.jpg; 0; 5954; 435; 0; 3; 2; 1
T05_3212.jpg; 0; 5729; 452; 0; 12; 0; 5
T04_372296.jpg; 0; 5941; 248; 0; 3; 1; 4
T02_2147.jpg; 0; 5950; 235; 0; 199; 5; 2
T01_1893.jpg; 0; 5694; 290; 0; 198; 2; 1
T03_3034.jpg; 0; 6172; 24; 0; 187; 3; 3
T05_3203.jpg; 0; 6036; 241; 0; 2; 2; 5
T03_3016.jpg; 0; 5895; 23; 0; 2; 5; 3
T05_3173.jpg; 0; 5534; 652; 0; 10; 0; 5
T02_2164.jpg; 0; 5756; 635; 0; 4; 0; 2
T04_372302.jpg; 0; 6084; 28; 0; 0; 8; 4
T03_3017.jpg; 0; 5915; 21; 0; 4; 8; 3
T05_3161.jpg; 0; 5561; 425; 0; 3; 201; 5
