DY
100
7
c0;c1;c2;c3;c4;c5;c6;
T09_10.jpg; 0; 5972; 30; 0; 6; 3; 9
T24_40.jpg; 0; 3970; 607; 0; 413; 0; 24
T15_10.jpg; 0; 5877; 501; 0; 6; 0; 15
T20_40.jpg; 0; 6376; 9; 0; 2; 1; 20
T10_30.jpg; 0; 5962; 216; 0; 2; 4; 10
T02_40.jpg; 0; 5015; 767; 0; 1; 3; 2
T17_10.jpg; 0; 5085; 292; 0; 205; 2; 17
T09_30.jpg; 0; 5589; 408; 0; 54; 4; 9
T02_30.jpg; 0; 5398; 582; 0; 200; 6; 2
T05_30.jpg; 0; 6097; 217; 0; 8; 63; 5
T08_10.jpg; 0; 5576; 402; 0; 206; 1; 8
T08_20.jpg; 0; 5761; 420; 0; 6; 190; 8
T20_10.jpg; 0; 6258; 21; 0; 107; 1; 20
T13_10.jpg; 0; 5556; 358; 0; 287; 0; 13
T13_20.jpg; 0; 6361; 17; 0; 7; 1; 13
T12_40.jpg; 0; 5635; 421; 0; 5; 6; 12
T07_10.jpg; 0; 4827; 402; 0; 208; 0; 7
T24_10.jpg; 0; 4420; 89; 0; 3; 0; 24
T02_10.jpg; 0; 5002; 17; 0; 403; 200; 2
T06_10.jpg; 0; 5981; 231; 0; 173; 3; 6
T03_30.jpg; 0; 5628; 14; 0; 175; 0; 3
T04_10.jpg; 0; 5372; 818; 0; 201; 0; 4
T08_30.jpg; 0; 5300; 361; 0; 8; 1; 8
T24_20.jpg; 0; 4831; 18; 0; 379; 0; 24
T07_40.jpg; 0; 4980; 803; 0; 202; 3; 7
T09_40.jpg; 0; 6016; 279; 0; 5; 1; 9
T21_10.jpg; 0; 6387; 10; 0; 1; 0; 21
T12_10.jpg; 0; 5477; 345; 0; 7; 1; 12
T07_20.jpg; 0; 5530; 18; 0; 4; 376; 7
T15_30.jpg; 0; 6400; 0; 0; 0; 0; 15
T19_10.jpg; 0; 5360; 15; 0; 192; 0; 19
T20_20.jpg; 0; 6374; 14; 0; 4; 2; 20
T18_30.jpg; 0; 4935; 597; 0; 315; 1; 18
T25_20.jpg; 0; 6151; 230; 0; 3; 0; 25
T21_30.jpg; 0; 5965; 413; 0; 11; 0; 21
T12_20.jpg; 0; 5812; 169; 0; 3; 1; 12
T21_40.jpg; 0; 5491; 227; 0; 471; 0; 21
T10_40.jpg; 0; 5751; 603; 0; 5; 3; 10
T01_30.jpg; 0; 5826; 274; 0; 7; 203; 1
T15_20.jpg; 0; 5913; 21; 0; 158; 3; 15
T01_10.jpg; 0; 5279; 211; 0; 1; 6; 1
T16_20.jpg; 0; 5620; 219; 0; 5; 4; 16
T06_30.jpg; 0; 5956; 25; 0; 207; 197; 6
T17_30.jpg; 0; 5409; 769; 0; 3; 2; 17
T13_30.jpg; 0; 5650; 345; 0; 8; 0; 13
T10_10.jpg; 0; 5572; 427; 0; 5; 4; 10
T11_40.jpg; 0; 6029; 21; 0; 332; 1; 11
T01_20.jpg; 0; 5767; 225; 0; 204; 186; 1
T03_40.jpg; 0; 5638; 32; 0; 716; 0; 3
T06_20.jpg; 0; 5549; 220; 0; 6; 142; 6
T23_20.jpg; 0; 5189; 392; 0; 205; 201; 23
T05_20.jpg; 0; 5864; 306; 0; 2; 8; 5
T06_40.jpg; 0; 5905; 295; 0; 2; 188; 6
T04_30.jpg; 0; 5074; 310; 0; 0; 202; 4
T05_40.jpg; 0; 5199; 632; 0; 0; 204; 5
T03_10.jpg; 0; 6003; 374; 0; 2; 0; 3
T05_10.jpg; 0; 5512; 164; 0; 298; 0; 5
T22_40.jpg; 0; 5358; 264; 0; 183; 4; 22
T02_20.jpg; 0; 5001; 394; 0; 213; 0; 2
T22_20.jpg; 0; 6090; 19; 0; 10; 2; 22
T14_40.jpg; 0; 5652; 480; 0; 6; 110; 14
T14_20.jpg; 0; 5422; 561; 0; 202; 1; 14
T13_40.jpg; 0; 6184; 22; 0; 1; 3; 13
T14_30.jpg; 0; 5787; 198; 0; 6; 1; 14
T17_20.jpg; 0; 5411; 294; 0; 6; 0; 17
T25_30.jpg; 0; 4692; 302; 0; 203; 201; 25
T19_40.jpg; 0; 5394; 584; 0; 396; 1; 19
T22_10.jpg; 0; 4803; 626; 0; 187; 0; 22
T25_10.jpg; 0; 4864; 14; 0; 200; 3; 25
